,Product Name,Price,Shipping,Total_Cost,URL
0,New Omega Speedmaster Professional Moonwatch  Men's Watch 310.30.42.50.01.001,"5,867.00",49.99,5916.99,https://www.ebay.com/itm/402988298970?epid=14044268690&hash=item5dd3f972da%3Ag%3AC8cAAOSw9zNhMlpV&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
1,New Omega Seamaster Aqua Terra  Automatic Men's Watch 220.10.41.21.03.001,"4,760.00",49.99,4809.99,https://www.ebay.com/itm/383341579292?epid=11043307550&hash=item5940f04c1c%3Ag%3AhcsAAOSwX25hMXZj&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
2,New Omega Seamaster Planet Ocean 600M 37.5mm Women's Watch 232.33.38.20.01.002,"3,426.15",49.99,3476.14,https://www.ebay.com/itm/402755200541?epid=4046109569&hash=item5dc614a61d%3Ag%3Ai5wAAOSwcxFhL-F9&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
3,New Omega Seamaster Aqua Terra  Good Planet Men's Watch 231.92.39.21.04.001,"4,787.00",49.99,4836.99,https://www.ebay.com/itm/401824827405?epid=23043776430&hash=item5d8ea0480d%3Ag%3AcC8AAOSwR0lhMPQP&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
4,New Omega Seamaster  Black Dial Rubber Men's Watch 210.32.42.20.01.001,"4,196.00",49.99,4245.99,https://www.ebay.com/itm/353398322713?epid=8043320416&hash=item52482e7619%3Ag%3AfhEAAOSwdGZhMxvc&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
5,New Omega Seamaster  White Dial Rubber Men's Watch 210.32.42.20.04.001,"4,196.00",49.99,4245.99,https://www.ebay.com/itm/402107960183?epid=16043312022&hash=item5d9f808b77%3Ag%3AS-IAAOSwJEZhMxvl&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
6,New Omega Seamaster  Blue Dial Men's Watch 210.32.42.20.03.001,"3,794.70",49.99,3844.6899999999996,https://www.ebay.com/itm/352868250211?epid=18043316554&hash=item5228963263%3Ag%3AxPYAAOSwCoVhL8gz&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
7,New Omega Seamaster  Ceragold Rubber Men's Watch 210.22.42.20.01.001,"5,372.00",49.99,5421.99,https://www.ebay.com/itm/402621589387?epid=18043316597&hash=item5dbe1de78b%3Ag%3AaJsAAOSwHNhhL8m4&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
8,Omega Seamaster 36mm Steel Blue Wave Dial Automatic Midsize Watch 2551.80.00,"2,388.74",49.00,2437.74,https://www.ebay.com/itm/133720296362?epid=4043309662&hash=item1f2259cbaa%3Ag%3ARJ8AAOSw2-ZgLCk3&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
9,New Omega Speedmaster Professional Moonwatch  Men's Watch 310.32.42.50.01.002,"6,372.00",49.99,6421.99,https://www.ebay.com/itm/353593502967?hash=item5253d0acf7%3Ag%3AOYAAAOSwHplhMk5J&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
10,New Omega Speedmaster  Solar Men's Watch 321.92.44.52.01.001,"5,877.00",49.99,5926.99,https://www.ebay.com/itm/353421118874?epid=17043314188&hash=item52498a4d9a%3Ag%3AO5wAAOSwIu1hL8O8&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
11,New Omega Seamaster  Blue Men's Watch 210.30.42.20.03.001,"4,157.79",49.99,4207.78,https://www.ebay.com/itm/383317764508?epid=20043318553&hash=item593f84e99c%3Ag%3ATOoAAOSwNPVhL8cA&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
12,New Omega Seamaster  Blue Dial Sedna Men's Watch 210.22.42.20.03.001,"5,402.00",49.99,5451.99,https://www.ebay.com/itm/383797069582?epid=24043309553&hash=item595c16870e%3Ag%3AwXsAAOSwdv1hL8nH&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
13,New Omega Seamaster  White Men's Watch 210.30.42.20.04.001,"5,047.00",49.99,5096.99,https://www.ebay.com/itm/353446341074?epid=13043317475&hash=item524b0b29d2%3Ag%3AmoYAAOSwwwdhMxv7&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
14,Omega Seamaster Aqua Terra  Chronometer Men's Watch 231.10.42.21.01.003-SD,"3,484.39",49.99,3534.3799999999997,https://www.ebay.com/itm/402828273694?epid=11043757569&hash=item5dca6fa81e%3Ag%3AraQAAOSwBjFhL9Y4&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
15,New Omega Seamaster  Nekton Edition Black Dial Men's Watch 210.30.42.20.01.002,"5,673.00",49.99,5722.99,https://www.ebay.com/itm/402803013396?epid=3046122069&hash=item5dc8ee3714%3Ag%3AY1EAAOSwK71hL9We&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
16,New Omega Speedmaster  Solar Impulse Limited Men's Watch 321.92.44.52.01.003,"5,733.00",49.99,5782.99,https://www.ebay.com/itm/384028088070?epid=17043764967&hash=item5969db9706%3Ag%3AH1cAAOSwJpdhMcqA&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
17,Omega Seamaster Aqua Terra Black Diamond Dial Ladies Watch 220.10.28.60.51.001,"2,409.75",64.94,2474.69,https://www.ebay.com/itm/184700317136?epid=25043305364&hash=item2b00ff2dd0%3Ag%3AKS4AAOSwoTlgRkin&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
18,Omega Seamaster Aqua Terra Steel Black Dial GreenHand Watch 231.10.42.21.01.004,"3,503.49",49.00,3552.49,https://www.ebay.com/itm/133602843914?epid=25043756452&hash=item1f1b599d0a%3Ag%3Apg4AAOSw5llf0lSP&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
19,New Omega Speedmaster  Dark Side Of The Moon Men's Watch 311.92.44.51.01.004,"9,457.00",49.99,9506.99,https://www.ebay.com/itm/384140355612?epid=3043322635&hash=item59708ca81c%3Ag%3Ai0kAAOSwkpRhL8TQ&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
20,New Omega Seamaster Aqua Terra   Men's Watch 231.10.42.21.02.003,"4,356.17",49.99,4406.16,https://www.ebay.com/itm/402794757075?epid=15046118238&hash=item5dc8703bd3%3Ag%3AYsQAAOSwNbxhL8Oo&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
21,Omega Speedmaster Day-Date Chronograph Steel Black Dial Mens Watch 3220.50.00,"3,057.59",49.00,3106.59,https://www.ebay.com/itm/144112267022?epid=17046009952&hash=item218dc2af0e%3Ag%3A05sAAOSwcXRg7b7j&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
22,New Omega Seamaster Aqua Terra Quartz 30mm  Women's Watch 231.10.30.60.02.001,"1,751.75",49.99,1801.74,https://www.ebay.com/itm/352736220955?epid=13043767376&hash=item5220b7971b%3Ag%3AH%7EMAAOSwRnRhL8Uh&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
23,New Omega Seamaster Diver 300 M Automatic Men's Watch 210.92.44.20.01.001,"6,410.00",49.99,6459.99,https://www.ebay.com/itm/352794928232?epid=8043320354&hash=item5224376468%3Ag%3Akq4AAOSwMF5hMIOl&_trkparms=%2526rpp_cid%253D5e41a76f1b9dc31b2286014a
